USR;TWEET;LANG;DATE;CLAS
HesMyPres;"RT @AMErikaNGIRLBOT: Watch⬇️Brave Los Angeles resident fight back! Residents speak up against #SanctuaryCities !
Make CA SAFE Again! Arrest…";en;2018-01-25 16:06:20;NEUTRO
albuquerquejm;GET FREE 500 Speedcoins #Cryptocurrency (like #Bitcoin #vert). If you never used Bitcoin, start with #Speedcoin https://t.co/zSuxCkqexK;en;2018-01-25 16:06:20;NEUTRO
