USR;TWEET;LANG;DATE;CLAS
carsanchez19991;Operando índice como se fosse bitcoin.;pt;2018-02-09 17:02:59;NEUTRO
NativeWhore;É a desigualdade indo para cima ou para baixo da pobreza para poder bitcoin gráfico taxa de INR - https://t.co/JIDSGmp3L6;pt;2018-02-09 17:03:26;NEUTRO
NativeWhore;A variação regional é interessante preço bitcoin hoje Índia. Na América Latina, ele subiu rapidamente durante os pr… https://t.co/nV7h2bxEd7;pt;2018-02-09 17:03:27;NEUTRO
mrcoelingh;minha mais nova paranóia é achar que estão usando meu computador para minar bitcoin;pt;2018-02-09 17:04:24;NEUTRO
Maomede;Nvidia é a grande vencedora da corrida da Bitcoin https://t.co/taGd0o37EG;pt;2018-02-09 17:05:08;NEUTRO
FelipeV31984395;Nvidia é a grande vencedora da corrida da Bitcoin https://t.co/qU9MY6pinu;pt;2018-02-09 17:05:11;NEUTRO
Prosp_na_Web;Nvidia é a grande vencedora da corrida da Bitcoin https://t.co/BRbqpmXA2r;pt;2018-02-09 17:05:15;NEUTRO
G8Ideias;Itaú começa a usar blockchain, tecnologia por trás do bitcoin, em operações do banco https://t.co/OxzmQOnfsV;pt;2018-02-09 17:05:55;NEUTRO
MancherGameBr;BitKong - Um jogo divertido, viciante e comprovadamente justo https://t.co/h1BIpqFlHN #bitcoin via @bitkongme;pt;2018-02-09 17:07:06;NEUTRO
clay_manoel;"RT @brunacorreiade: o cara: aaaaa queria ter uma namoradinha inteligente q entendesse das coisa profunda e complexas q eu  gosto de falar
O…";pt;2018-02-09 17:08:46;NEUTRO
fernandodivac;Nvidia a grande vencedora da corrida da Bitcoin https://t.co/iYT19a0g5c;pt;2018-02-09 17:09:31;NEUTRO
NativeWhore;É International Business Machines (IBM) um grande valor pegar https://t.co/z8q834XMqf como fazer bitcoin carteiras… https://t.co/tznxvdlDCO;pt;2018-02-09 17:09:52;NEUTRO
NativeWhore;No total, International Business Machines atualmente tem uma pontuação de valor de um, colocando-o no top 20% de to… https://t.co/pc4c3wT56V;pt;2018-02-09 17:09:52;NEUTRO
traderjairo;"Analsis Mensual Febrero 2018 #FOREX #ACCIONES #BITCOIN  
Miralo aqui---&gt; https://t.co/X8XOr0G67K https://t.co/AvBaSpVtKF";pt;2018-02-09 17:10:07;NEUTRO
Thefireducky;O Twitter vai doar 0,00001 bitcoin  para cada rt que esse tweet tiver, para ajudar no tratamento da minha amiga. Ob… https://t.co/uwn3WaMdjF;pt;2018-02-09 17:11:00;NEUTRO
RulioBfr;@startupdareal A passagem aqui no Rio ta parecendo cotação do bitcoin;pt;2018-02-09 17:11:03;NEUTRO
Economi_Digital;"Bitcoin deixa de ser o ""queridinho"" dos criminosos e duas ... - InfoMoney https://t.co/OZmSioAEOs https://t.co/rttF0nG5UT";pt;2018-02-09 17:11:06;NEUTRO
NativeWhore;É intersectionality uma religião bitcoin tabela de conversão - https://t.co/3PGBIXGSMI;pt;2018-02-09 17:11:08;NEUTRO
MercoinMX;"RT @MercoinBR: Algo novo chegou a nossa galera

Enterate mais de o que fazemos por tudos vcs https://t.co/QCPY5L6OH5";pt;2018-02-09 17:11:18;NEUTRO
Dinossauroazul;RT @Thefireducky: O Twitter vai doar 0,00001 bitcoin  para cada rt que esse tweet tiver, para ajudar no tratamento da minha amiga. Obrigado…;pt;2018-02-09 17:11:37;NEUTRO
SutelBrasil;Entenda a mineração do Bitcoin https://t.co/WXicKANSXQ via @portaldobitcoin;pt;2018-02-09 17:11:43;NEUTRO
Rodrigues_SA1;"@infomoney Tesla = Enron; Elon Musk = Bernard Madoff. O que eles gastam com marketing não volta em receita. Depois… https://t.co/NNDnWB8mDC";pt;2018-02-09 17:11:50;NEUTRO
Thefireducky;@Dinossauroazul Temos no momento 0,00001 bitcoin obrigado ♡;pt;2018-02-09 17:12:28;NEUTRO
Dinossauroazul;RT @Thefireducky: @Dinossauroazul Temos no momento 0,00001 bitcoin obrigado ♡;pt;2018-02-09 17:13:11;NEUTRO
carsanchez19991;Tem simulador para vc operar futuro de bitcoin também @fernandoulrich . https://t.co/PIjzVaX6tG;pt;2018-02-09 17:13:24;NEUTRO
quebreabanca;"REPITA SÓ MAIS UMA VEZ: 

BITCOIN É COISA DE PIRAMIDEIRO!";pt;2018-02-09 17:13:59;NEUTRO
mizzyjoe88;"use E380D5Ca
referal code https://t.co/ZaBXVb64Oz";pt;2018-02-09 17:14:21;NEUTRO
NativeWhore;Como valorizar swaps de taxa de juros Investopedia melhor cartão de débito bitcoin - https://t.co/DmxOyGz17v;pt;2018-02-09 17:16:41;NEUTRO
NativeWhore;swaps simples, como a maioria dos instrumentos derivativos, têm valor de zero no início bitcoin calculadora mineraç… https://t.co/548GyK4iI1;pt;2018-02-09 17:16:41;NEUTRO
carsanchez19991;Voltou a baixa volatilidadeno bitcoin e a elevada no mercado.;pt;2018-02-09 17:17:34;NEUTRO
NativeWhore;Op-ed voto movimento na cédula embalados com pacotes de títulos de alta do dólar beli bitcoin Malásia - https://t.co/7oX12rzmdE;pt;2018-02-09 17:17:38;NEUTRO
NativeWhore;Para os eleitores Austin, que significa decidir sobre as iniciativas que visam melhorar escolas, estradas e parques… https://t.co/wM3DpxyHOr;pt;2018-02-09 17:17:38;NEUTRO
lalalililililil;bitcoin eh aquelas moedinha de chocolate né;pt;2018-02-09 17:18:17;NEUTRO
brunopetraglia;RT @quantocusta1btc: 1 #bitcoin está custando R$28199.9 na FoxBit. Acesse https://t.co/zbMCM8SnCq e negocie com as menores taxas do Brasil.;pt;2018-02-09 17:20:16;NEUTRO
fabiano3995;"airdrop Pré-ICO em https://t.co/qzeZW0Womc por $ 0.005 cada 1/2 preço antes do ICO  
 # btc  # bitcoin  # eth  # et… https://t.co/UaqeCIIfz1";pt;2018-02-09 17:20:43;NEUTRO
NathaliaML84;"""Itaú começa a usar tecnologia por detrás do bitcoin"" https://t.co/6Q8BnoVtXW #trabalho #feedly";pt;2018-02-09 17:22:40;NEUTRO
viktorruppini;@juhwithguns Quê?!?!?!? Nunca pensei que você investiria no TD. Menos ainda que seria low-stakes. Tem que investir… https://t.co/15R84riBE4;pt;2018-02-09 17:22:52;NEUTRO
healthcarecoins;"#DowJones #WallStreet #Resistance level #Below 20,000!
#ECN #investing 1,400% #ROI #blockchain #Bitcoin… https://t.co/wJTDWu0Yx6";pt;2018-02-09 17:24:02;NEUTRO
NativeWhore;PC Gaming semanal do aumento de vendas rpg VentureBeat ficar livre bitcoin rápido - https://t.co/Te45YBiHX8;pt;2018-02-09 17:24:20;NEUTRO
NativeWhore;Eu tenho role-playing games em minha mente. Isso não deve surpreender ninguém que me conhece bitcoin aplicativo ale… https://t.co/ITwyiA5212;pt;2018-02-09 17:24:20;NEUTRO
nhatan247;"RT @PlanetZiggurat: ZIGGURAT TELEGRAM BOUNTY - JUNTE-SE AO NOSSO CANAL E OBTENHA 40 ZIG
Telegram https://t.co/AHw2myuaQn    #OfertasIniciai…";pt;2018-02-09 17:24:11;NEUTRO
bitcoinvigil;ANÁLISE TÉCNICA BITCOIN CASH - ALTCOINS 2018 | RODRIGO MIRANDA https://t.co/uGnaC3XQoK https://t.co/0GZ5cBqtOg;pt;2018-02-09 17:26:12;NEUTRO
cryptoprofitbr;"Itaú começa a usar tecnologia Blockchain para registrar informações de contratos!

#blockchain #Tecnologia
#Bancos… https://t.co/NxY8Mjkzm4";pt;2018-02-09 17:27:03;NEUTRO
evandromelo_;RT @CurtiAntony: Se eu fosse o Garoppolo gastava o salário inteiro em bitcoin e comprava os 49ers no final do ano.;pt;2018-02-09 17:28:58;NEUTRO
bitcoin_service;"#Bitcoin 🔼  0.54% 
Ultima: R$ 28399.00  Alta: R$ 28499.90 Baixa: R$ 26305.54
Fonte: Foxbit";pt;2018-02-09 17:30:02;NEUTRO
quantocusta1btc;1 #bitcoin está custando R$28398.99 na FoxBit. Acesse https://t.co/zbMCM8SnCq e negocie com as menores taxas do Brasil.;pt;2018-02-09 17:30:04;NEUTRO
coelho_diaz;RT @lewownardo: mina namorada é igual o bitcoin nao existe na vida real.;pt;2018-02-09 17:30:15;NEUTRO
CCPazeVida;"DESTAQUES: Itaú começa a usar blockchain, tecnologia por trás do bitcoin, em operações do banco.
Processos não são… https://t.co/wrNrOEXfo5";pt;2018-02-09 17:30:29;NEUTRO
threwlys;RT @marcurelio: Como é definido o valor do Bitcoin https://t.co/FKVfed3cRV;pt;2018-02-09 17:30:46;NEUTRO
threwlys;"Retweeted Zé Gotinha da Petrobrás (@marcurelio):

Como é definido o valor do Bitcoin https://t.co/n5GCeU9ExF https://t.co/CCYOHLyesG";pt;2018-02-09 17:30:58;NEUTRO
suportebigdata;Nvidia é a grande vencedora da corrida da Bitcoin https://t.co/hQYqmu449x #bigdatasolution;pt;2018-02-09 17:31:05;NEUTRO
AM3D_Marketing;🤜🤛 Descola lança curso sobre Bitcoin https://t.co/qaHWT7WCrZ https://t.co/nESdCaWz66;pt;2018-02-09 17:32:22;NEUTRO
JosimarNSousa;Gostei de um vídeo @YouTube https://t.co/gwU266q4Rm SONHO DA PLACA DE VÍDEO NOVA | A QUEDA DO BITCOIN;pt;2018-02-09 17:32:50;NEUTRO
fbandmachado;"VALE APENA VER..
As criptomoedas e a tecnologia que está por trás...
GANHE AQUI OS SEUS PRIMEIROS Bitcoin.
AQUIM... https://t.co/5lqJpmEy1t";pt;2018-02-09 17:32:51;NEUTRO
RaphaFigueredo;E o Bitcoin lá, firme e forte. Subindo quase 5%.;pt;2018-02-09 17:33:25;NEUTRO
sxpclub;"bitcoin eu não respeito
mas blockchain eu simplesmente respeito d+";pt;2018-02-09 17:33:54;NEUTRO
precohoje;O Bitcoin está R$27,900.67 - https://t.co/eXOP4Zw8Tg;pt;2018-02-09 17:34:02;NEUTRO
precohoje;O Bitcoin Cash está R$4,248.15 - https://t.co/NRz9fHyZVj;pt;2018-02-09 17:34:02;NEUTRO
CyberDomain;Este livro tem como objetivo ser um texto introdutório a interessa https://t.co/1jk5VvAOay #Cybersecurity #Bitcoin https://t.co/FyPIdNKWbb;pt;2018-02-09 17:34:35;NEUTRO
CyberToolsBooks;Este livro tem como objetivo ser um texto introdutório a interessa https://t.co/PUNpJtcR95 #Cybersecurity #Bitcoin https://t.co/JHA0ABcvyU;pt;2018-02-09 17:34:37;NEUTRO
yungcastro777;RT @mclapa: No caso de Diss o MC deve anexar boletos bancários e comprovantes de renda superiores ao MC atacado . Transações  em bitcoin e…;pt;2018-02-09 17:34:42;NEUTRO
NativeWhore;Tal um pequeno deslizamento como aquele visto em índices de ações dos EUA para terminar esta semana passado, normal… https://t.co/WYBS8YyYKn;pt;2018-02-09 17:37:22;NEUTRO
CaboImagem;Dona da Bolsa de NY lança serviço de dados sobre bitcoin https://t.co/jnH7g9WQT3;pt;2018-02-09 17:39:24;NEUTRO
desrtr;RT @mclapa: No caso de Diss o MC deve anexar boletos bancários e comprovantes de renda superiores ao MC atacado . Transações  em bitcoin e…;pt;2018-02-09 17:39:24;NEUTRO
ggty;Bitcoin: EBCoin anuncia parcerias em exchanges e o lançamento de seu novo sistema de negociação em criptomoedas… https://t.co/SEcGcwmWGv;pt;2018-02-09 17:41:16;NEUTRO
Adriano_2017;Gostei de um vídeo @YouTube https://t.co/YBYBzlrVFr SONHO DA PLACA DE VÍDEO NOVA | A QUEDA DO BITCOIN;pt;2018-02-09 17:42:38;NEUTRO
CCOODD73;Bitcoin vai valer US$ 50 mil este ano e criptomoedas chegarão a US$ 1 trilhão, dizem especialistas https://t.co/OBpXV25D7q;pt;2018-02-09 17:44:34;NEUTRO
1LudwigVonMises;Hackers Estão Usando Celulares Android e Smart TVs para Minerar ... - Portal do Bitcoin (liberação de imprensa) (Bl… https://t.co/OmOWcHJu17;pt;2018-02-09 17:45:05;NEUTRO
Economi_Digital;Bitcoin: França e Alemanha pedem ação conjunta do G-20 sobre ... - Jornal O Globo https://t.co/1uQzx6eqrP https://t.co/ysAvEd8vsG;pt;2018-02-09 17:45:05;NEUTRO
sitemegabuzz10;França e Alemanha cobram G20 para discutir bitcoin https://t.co/Os4xikEZao;pt;2018-02-09 17:45:55;NEUTRO
sitemegabuzz;França e Alemanha cobram G20 para discutir bitcoin https://t.co/H2QH1xkyit;pt;2018-02-09 17:45:57;NEUTRO
bitcointoyou;Compre o Bitcoin mais barato do Brasil na Bitcointoyou, por R$27,661.00. Está R$989 mais barato que na concorrência (3.58%).;pt;2018-02-09 17:47:06;NEUTRO
SantosN1225;Adicionei um vídeo a uma playlist @YouTube https://t.co/OUCqYXXdJc ganhei 0.00587902 Bitcoin no Freebitcoin - Estratégia FODA!!!;pt;2018-02-09 17:47:53;NEUTRO
dancorttez;Gostei de um vídeo @YouTube https://t.co/4FGeQAcA66 SONHO DA PLACA DE VÍDEO NOVA | A QUEDA DO BITCOIN;pt;2018-02-09 17:50:11;NEUTRO
nee_batista;Bitcoin - 8.646,7 dólares,  é um bom momento pra compra, lembrando que o pico foi 20 mil dólares;pt;2018-02-09 17:52:34;NEUTRO
heprer;"Estou participando do sorteio de R$ 100 em $BTC via @WatchCoins
#WatchCoins #Bitcoin #Sorteio https://t.co/lCDpRG0hVG";pt;2018-02-09 17:52:47;NEUTRO
marcosbrsp1234;"Ganhe Dinheiro Mineirando Bitcoin Gratuito

Investimento Gratis 

Confira Agora Mesmo Sucesso ,Cadastro Gratis… https://t.co/YzORu08dWh";pt;2018-02-09 17:53:00;NEUTRO
NativeWhore;É um desperdício de dinheiro, emoções e tempo bitcoin hardware https://t.co/Niby9SRIxt mineiro - https://t.co/kXE8Z3EjDJ;pt;2018-02-09 17:53:41;NEUTRO
GVZFO;@rafaelferragut Vende td e compra Bitcoin!!!;pt;2018-02-09 17:53:55;NEUTRO
MartinsAdvCons;@samydana @samydana está parecendo bebê chorão! Negar o BitCoin é negar o futuro! Realmente ... quem fez loucura es… https://t.co/avBiQ0QYht;pt;2018-02-09 17:54:54;NEUTRO
olucassrg;"RT @brunacorreiade: o cara: aaaaa queria ter uma namoradinha inteligente q entendesse das coisa profunda e complexas q eu  gosto de falar
O…";pt;2018-02-09 17:55:23;NEUTRO
NativeWhore;Como usar o Evernote o manual não oficial bitcoin acidente de 2016 - https://t.co/4kFAVaOEDY;pt;2018-02-09 17:55:49;NEUTRO
NativeWhore;Notas não são no entanto limitado a texto simples,. Você pode colocar todos os tipos de coisas em tão bem. Como fot… https://t.co/yLEZkvRJce;pt;2018-02-09 17:55:49;NEUTRO
Traspadini_ES;"RT @cryptohm: Foi por isso que decidi dar aula: pra explicar pra pessoas O QUE É UMA BLOCKCHAIN e pq é tão disruptiva.
Isso é FAKE NEWS: o…";pt;2018-02-09 17:55:58;NEUTRO
A_Constituicao;RT @NesterTweets: Verdadeira fraude é o dólar e não o bitcoin, diz especialista - Sputnik Brasil https://t.co/OH43D9K2Db https://t.co/sq3KE…;pt;2018-02-09 17:57:02;NEUTRO
infomoney;Homem que investiu US$ 1 mil em bitcoin em 2011 compra Lamborghini e paga na moeda https://t.co/cakv1xGPA6 #mercados_IM;pt;2018-02-09 17:57:15;NEUTRO
