USR;TWEET;LANG;DATE;CLAS
marcelofs1;Agora já sabemos para que serve mestrado de engenheiro nuclear que tem lojinha de Bitcoin mas que não extrapola dad… https://t.co/YcyEOqDcTb;pt;2018-02-09 16:04:53;NEUTRO
BitcoinAndroid;Mas não aceitam bitcoin o comprar nada! Vai lá no Japão ...😁 https://t.co/Klv4YkXRwC;pt;2018-02-09 16:05:33;NEUTRO
Fabiov08;"RT @ConTVReal: Senhor bitcoin dando uma recuperadinha tímida, mas tá indo pra cima. Quando ele sobe, todass outras sobem, é a tendência.

E…";pt;2018-02-09 16:05:45;NEUTRO
llev4m3;@InfinitGreninja KAKAKAKAKA FATO AAAAAA AQL TIOZINHO Q ACEITA BITCOIN EH GENIAL;pt;2018-02-09 16:05:49;NEUTRO
MrGuigao;"@ConTVReal Ora Ora Vejam só... !

https://t.co/80IrAEfS56";pt;2018-02-09 16:06:24;NEUTRO
jhfilippini;"RT @Ideias_Radicais: Uma coisa engraçada é:
Críticos do Bitcoin dizendo que é pura especulação
Mas acham que quem tá comprando dezenas de b…";pt;2018-02-09 16:06:27;NEUTRO
Econom_Digital;Serviço de Delegados dos Estados Unidos Leiloa US$ 30 Milhões ... - Portal do Bitcoin (liberação de imprensa) (Blog… https://t.co/CtanZcUEWO;pt;2018-02-09 16:07:06;NEUTRO
thinhoso;se o preço do bitcoin nao baixar cenas assim serão consideradas normais https://t.co/NtbZEUjDDG;pt;2018-02-09 16:08:59;NEUTRO
MarioJuniorPro;Site do @Estadao está comento CPU. de 6% para 98%, ou seja, provavelmente minerando bitcoin https://t.co/h9g3Tz45Yu;pt;2018-02-09 16:09:49;NEUTRO
NativeWhore;É ouro ou bitcoin uma bolha (a quantidade de energia que eles consomem) countingpips bitcoin serviço ao cliente - https://t.co/2BYNwHOjy4;pt;2018-02-09 16:10:03;NEUTRO
NativeWhore;Se você está investindo em qualquer Bitcoin ou ouro, é importante entender quais ativos está se comportando mais co… https://t.co/JwKiJANQOd;pt;2018-02-09 16:10:03;NEUTRO
GregConhasca;Quem ainda não está participando e quer participar de lucros com Bitcoin, e começar minerar Bitcoins (satoshis)... https://t.co/qPz4xW3GJR;pt;2018-02-09 16:10:06;NEUTRO
Xandx_23;RT @mclapa: No caso de Diss o MC deve anexar boletos bancários e comprovantes de renda superiores ao MC atacado . Transações  em bitcoin e…;pt;2018-02-09 16:11:04;NEUTRO
ComFestas;Itaú começa a usar blockchain, tecnologia por trás do bitcoin, em operações do banco https://t.co/2f5byVYslJ;pt;2018-02-09 16:12:56;NEUTRO
badaberde;Fui ver o preço duma coisinha lá nos Stats e tinha Bitcoin como opção de pagamento, achei isso tão moderno;pt;2018-02-09 16:14:15;NEUTRO
NativeWhore;Google era para ser diferente bitcoin vender. Ao contrário de Microsoft e Apple, que construíram seus impérios em s… https://t.co/mHUO5L914l;pt;2018-02-09 16:14:38;NEUTRO
NativeWhore;alto rendimento oeste chega a acordo para vender ativos de mineração de US $ 750 milhões usd bitcoin equilíbrio end… https://t.co/QPXLLCD9zF;pt;2018-02-09 16:17:34;NEUTRO
medeiros2p;ideia de fantasia: se vestir de bitcoin e ficar se jogando no chão o bloco inteiro;pt;2018-02-09 16:18:55;NEUTRO
lfernando_f;RT @medeiros2p: ideia de fantasia: se vestir de bitcoin e ficar se jogando no chão o bloco inteiro;pt;2018-02-09 16:20:03;NEUTRO
redecaxiastv;Itaú começa a usar blockchain, tecnologia por trás do bitcoin, em operações do banco https://t.co/VajahDkzcZ;pt;2018-02-09 16:24:00;NEUTRO
redecaxiastv;Itaú começa a usar blockchain, tecnologia por trás do bitcoin, em operações do banco https://t.co/aVcuq08827;pt;2018-02-09 16:24:52;NEUTRO
CyberDomain;Com o aumento do provimento de serviços digitais, nunca antes imag https://t.co/IwJjsYBnvN #Cybersecurity #Bitcoin https://t.co/IAgMJ09ayy;pt;2018-02-09 16:25:47;NEUTRO
CyberToolsBooks;Com o aumento do provimento de serviços digitais, nunca antes imag https://t.co/xZXU97YncY #Cybersecurity #Bitcoin https://t.co/5gzquhCWp5;pt;2018-02-09 16:25:48;NEUTRO
NativeWhore;espetáculo público como punição em uma cidade fora da lei, a partir de bo keely especulações diárias como vender bi… https://t.co/JYATmHpVof;pt;2018-02-09 16:25:49;NEUTRO
infomoney;"Bitcoin deixa de ser o ""queridinho"" dos criminosos e duas criptomoedas já disputam o posto https://t.co/9MZ0QHocWe #mercados_IM";pt;2018-02-09 16:26:38;NEUTRO
ierogun;"RT @brunacorreiade: o cara: aaaaa queria ter uma namoradinha inteligente q entendesse das coisa profunda e complexas q eu  gosto de falar
O…";pt;2018-02-09 16:27:25;NEUTRO
MercoinMRN;"RT @MercoinBR: Algo novo chegou a nossa galera

Enterate mais de o que fazemos por tudos vcs https://t.co/QCPY5L6OH5";pt;2018-02-09 16:28:37;NEUTRO
ClubeBitcoin;"Bitcoin vai valer US$ 50 mil este ano e criptomoedas chegarão a US$ 1 trilhão, dizem especialistas

#médicos… https://t.co/ltJjc1LsjN";pt;2018-02-09 16:28:50;NEUTRO
NativeWhore;É verde (investimento) o novo preto - https://t.co/UXYKewFRui bitcoin ligação - https://t.co/P6c0dRTjkN;pt;2018-02-09 16:29:05;NEUTRO
helenalmeida4;"RT @infomoney: Bitcoin deixa de ser o ""queridinho"" dos criminosos e duas criptomoedas já disputam o posto https://t.co/9MZ0QHocWe #mercados…";pt;2018-02-09 16:29:18;NEUTRO
InvestingBrasil;Criptomoedas majoritariamente em alta, embora bitcoin fique para trás - https://t.co/VtmfNm1Y9v;pt;2018-02-09 16:29:25;NEUTRO
quantocusta1btc;1 #bitcoin está custando R$28260.19 na FoxBit. Acesse https://t.co/zbMCM99Z10 e negocie com as menores taxas do Brasil.;pt;2018-02-09 16:30:01;NEUTRO
bitcoin_service;"#Bitcoin 🔼  0.19% 
Ultima: R$ 28245.00  Alta: R$ 28499.90 Baixa: R$ 26305.54
Fonte: Foxbit";pt;2018-02-09 16:30:01;NEUTRO
___DENISE___EU_;"RT @infomoney: Bitcoin deixa de ser o ""queridinho"" dos criminosos e duas criptomoedas já disputam o posto https://t.co/9MZ0QHocWe #mercados…";pt;2018-02-09 16:30:43;NEUTRO
adenilsonka;"US$ 72 bilhões em transações com Bitcoin provêm de atividades ilegais

https://t.co/XvOO5XeYN9";pt;2018-02-09 16:31:42;NEUTRO
icao_moura;Bitcoin vai fazer parte da grade de estudos de física agora, porque sinceramente tá em queda livre;pt;2018-02-09 16:32:36;NEUTRO
ubiraci95503878;Estou divulgando o moon bitcoin o gual é gratis entre e aproveite, venha!;pt;2018-02-09 16:33:25;NEUTRO
precohoje;O Bitcoin está R$27,814.86 - https://t.co/eXOP4Zey1I;pt;2018-02-09 16:34:01;NEUTRO
precohoje;O Bitcoin Cash está R$4,217.79 - https://t.co/NRz9fHyZVj;pt;2018-02-09 16:34:02;NEUTRO
TheCryptoDB;(ANÁLISE TÉCNICA #BitcoinCash - A ...) - https://t.co/uEJqCAPTFQ #cryptocurrency #CryptoNews #Ação #Ações… https://t.co/Vj37OCoUrI;pt;2018-02-09 16:34:06;NEUTRO
NativeWhore;Ele é apenas casar com você para o green card bitcoin valor - https://t.co/oBZXlKVuyP;pt;2018-02-09 16:34:15;NEUTRO
abigailbcar;"Esta é uma análise feita pela empresa Recorded Future, que revelou que o Bitcoin está perdendo espaço como a ""moeda… https://t.co/SRsJb1wACN";pt;2018-02-09 16:35:41;NEUTRO
ggty;"Bitcoin: Hackers Estão Usando Celulares Android e Smart TVs para Minerar Criptomoedas
https://t.co/Ep64FcTEca

Publ… https://t.co/XP3X7skL4V";pt;2018-02-09 16:36:09;NEUTRO
ggty;"Bitcoin: O pior argumento sobre criptomoedas
https://t.co/B9B8jSDKRy

Publicado por: Criptomoedas Fácil https://t.co/j8UxgLGjUI";pt;2018-02-09 16:36:40;NEUTRO
DatawizBigdata;RT @NoSQLBoy: O último The https://t.co/JzRRyiovTX Daily! https://t.co/nkEpEYHk4C Agradecimentos a @HoundstoothSc @amu4biz #bitcoin #blockc…;pt;2018-02-09 16:37:06;NEUTRO
moonlitism;sonhei q minha cama tinha uma entrada USB secreta tipo um carregador e minerava bitcoin;pt;2018-02-09 16:37:50;NEUTRO
calabocatito;RT @InvestingBrasil: Criptomoedas majoritariamente em alta, embora bitcoin fique para trás - https://t.co/VtmfNm1Y9v;pt;2018-02-09 16:38:16;NEUTRO
NativeWhore;Enquanto a oportunidade de seguir um curso do ensino superior já foi uma parte fundamental do sonho americano, é ag… https://t.co/m5A71BaWNv;pt;2018-02-09 16:39:25;NEUTRO
_patopatopato;ESTÁ MORTO O BTC https://t.co/WpJnIrdJNS;pt;2018-02-09 16:41:55;NEUTRO
redecaxiastv;Itaú começa a usar blockchain, tecnologia por trás do bitcoin, em operações do banco https://t.co/YZ8it6dXAn;pt;2018-02-09 16:45:04;NEUTRO
jeduoliveira;Nvidia é a grande vencedora da corrida da Bitcoin https://t.co/xPslYymRz7 #umRei #TimBeta #RT #SDV #missaobeta #betaajudabeta #retwitter;pt;2018-02-09 16:45:15;NEUTRO
JornalContacto;França e Alemanha unidas contra a bitcoin https://t.co/EUaMtlX2bJ;pt;2018-02-09 16:46:33;NEUTRO
redecaxiastv;Itaú começa a usar blockchain, tecnologia por trás do bitcoin, em operações do banco https://t.co/Ic51lAdFjY;pt;2018-02-09 16:46:33;NEUTRO
jumbopaulo;E esse Bitcoin do bolsosmauro https://t.co/eEdCdmzKha;pt;2018-02-09 16:49:47;NEUTRO
MarcosFaco;Nvidia é a grande vencedora da corrida da Bitcoin https://t.co/xQ1jXNEREK #marketingonline;pt;2018-02-09 16:50:39;NEUTRO
marcosbrsp1234;"Ganhe Dinheiro Mineirando Bitcoin Gratuito

Investimento Gratis 

Confira Agora Mesmo Sucesso ,Cadastro Gratis… https://t.co/c5tEbRCkO5";pt;2018-02-09 16:53:00;NEUTRO
JovemNoticias;Nvidia é a grande vencedora da corrida da Bitcoin https://t.co/qwy4sVfU3v;pt;2018-02-09 16:53:24;NEUTRO
NativeWhore;Argentina lésbicas amarrar nó em primeiro para a América Latina judeus - o wikihow bitcoin frente - https://t.co/FpxVP1tdRS;pt;2018-02-09 16:53:40;NEUTRO
NativeWhore;O rabino falou sob a chupá sobre o casal e como cerca de dois anos eles começaram a participar ativamente na comuni… https://t.co/Gm7S6e9R40;pt;2018-02-09 16:53:40;NEUTRO
alvarotins;RT @mclapa: No caso de Diss o MC deve anexar boletos bancários e comprovantes de renda superiores ao MC atacado . Transações  em bitcoin e…;pt;2018-02-09 16:54:44;NEUTRO
flanlokassa;RT @Ideias_Radicais: Alguém guarda isso pra fazer um gif com o preço do Bitcoin por favor https://t.co/WXSR32tIp6;pt;2018-02-09 16:55:13;NEUTRO
juracifsouza;"Bitcoin deixa de ser o ""queridinho"" dos criminosos e duas criptomoedas já disputam o posto https://t.co/Iz7O2FH0hi";pt;2018-02-09 16:55:36;NEUTRO
NativeWhore;2018 Ford expedição conduzir primeira revista automóvel melhor Bitcoin torneira - https://t.co/6TpfNQDoIr;pt;2018-02-09 16:58:55;NEUTRO
NativeWhore;Ligando todos os 2.018 Expeditions é da Ford familiarizado 3.5 litros EcoBoost twin-turbo V-6 que é bitcoin em hind… https://t.co/CstovEfaez;pt;2018-02-09 16:58:56;NEUTRO
quantocusta1btc;1 #bitcoin está custando R$28199.9 na FoxBit. Acesse https://t.co/zbMCM8SnCq e negocie com as menores taxas do Brasil.;pt;2018-02-09 17:00:02;NEUTRO
ceBitcoin;A cotação atual do Bitcoin é de R$27.799,99 subindo 0.72% na última hora! #cotacao #BTC;pt;2018-02-09 17:00:16;NEUTRO
NativeWhore;É mercado de seguros da Índia vinda de idade - Knowledge @ Wharton onde obter bitcoin - https://t.co/yQE3bc9EUj;pt;2018-02-09 17:00:47;NEUTRO
NativeWhore;Toda essa atividade suscita algumas perguntas СЃРѕР · РґР ° С,СЊ РєРѕС € РμР »РμРє bitcoin. Por que a rota IPO? E,… https://t.co/RR2exc0Viv;pt;2018-02-09 17:00:47;NEUTRO
24BrasilNoticia;Nvidia é a grande vencedora da corrida da Bitcoin https://t.co/8KkHGIqJlH #notícias #Tecnologia https://t.co/qMbRQWOLDg;pt;2018-02-09 17:00:51;NEUTRO
mmoedavirtual;Lightning Network: Quase 600 nós estão ativos na rede principal do bitcoin - https://t.co/DOud66cx1M https://t.co/2PRLokY6oN;pt;2018-02-09 17:01:29;NEUTRO
ggty;"Bitcoin: Ripple agora está disponível para negociações na exchange indiana Zebpay
https://t.co/DfxyxNWYsz

Publicad… https://t.co/SpVGPh1lME";pt;2018-02-09 17:02:20;NEUTRO
